Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-200;-0.087720;-0.438317;0.059685
-190;-0.388810;-0.275942;-0.349417
-180;0.233391;0.135375;0.035698
-170;0.229908;0.079901;0.267860
-160;0.755297;-0.040155;0.131803
-150;-0.020282;-0.014449;-0.657656
-140;-0.445971;-0.317163;-0.494465
-130;-0.052966;0.391838;0.206849
-120;0.304484;-0.098408;0.406980
-110;-1.849534;-0.463410;-0.210943
-100;-0.957919;-0.032969;1.175107
-90;0.023089;-0.389887;0.528417
-80;-0.426137;-0.055564;-0.525536
-70;0.173631;0.101760;0.336406
-60;-0.347290;-0.607597;0.679455
-50;0.302442;-0.409213;-0.250283
-40;0.562030;0.379555;0.240404
-30;-1.058695;-1.161341;-0.850145
-20;-0.244904;0.398458;0.040194
-10;1.685706;1.769194;1.432636
0;4.142190;4.258316;3.828915
10;6.897434;7.291242;7.394833
20;9.331417;9.288994;8.320367
30;12.317384;11.702758;12.181700
40;14.232119;13.671597;13.638529
50;16.880652;15.846835;15.797014
60;18.654075;18.485566;18.391674
70;21.661505;21.652534;21.503735
80;23.564709;22.548638;23.053257
90;25.984594;25.303205;25.692671
100;27.709422;28.029546;27.278009
110;30.266336;29.907236;29.657796
120;30.255781;29.986135;29.631280
130;29.614725;30.224852;29.687554
140;30.052727;29.584824;29.564443
150;29.795670;29.867249;29.947739
160;30.033516;29.090758;29.317798
170;28.987742;28.305536;29.296604
180;28.038072;28.060681;28.569559
190;28.294717;27.694547;27.618861
200;27.664878;28.614280;28.039269
210;27.202588;27.256001;27.279946
220;27.815389;27.387274;27.889075
230;27.306097;26.613433;27.035762
240;26.268904;26.810623;26.535786
250;26.339005;26.314426;26.475033
260;26.530844;26.056946;25.902806
270;26.315771;25.873857;25.277244
280;25.742846;25.218965;24.936030
290;24.574660;25.347375;25.562347
300;25.299061;24.208563;24.651526
310;25.318022;24.513190;24.896295
320;24.309316;24.846988;24.481697
330;23.385074;23.068534;24.553482
340;23.715201;23.017115;24.157397
350;23.382410;24.365176;23.689114
360;23.380256;23.938604;23.788143
370;23.908287;22.950516;23.012441
380;23.185845;22.517999;23.228852
390;23.285727;22.732898;22.375937
400;22.740926;21.727947;22.647843
410;21.653147;22.312082;22.418058
420;21.878161;21.386575;21.566645
430;21.557386;21.668000;21.321051
440;22.215496;21.447904;21.471555
450;21.011883;22.201194;20.499635
460;20.858715;20.815622;20.444982
470;20.612462;20.458069;21.308551
480;20.082597;21.089472;20.519293
490;20.161017;20.064373;21.020562
500;20.385509;20.502285;19.964647
